Domain,Risk Level,Risk Score,Indicators,Status
7k-77.casino,CRITICAL,150,Contains JavaScript redirects; Contains credential harvesting phrases: 2 found; Mentions well-known brands: 6 found; Contains financial scam keywords: 1 found; Online gambling/casino content: 2 found; No valid SSL certificate; Uses suspicious TLD: .casino,analyzed
1kppw-sdid3.shop,CRITICAL,145,Contains JavaScript redirects; Contains high-risk phishing phrases: 1 found; Contains credential harvesting phrases: 1 found; Mentions well-known brands: 4 found; Uses urgency/scarcity tactics: 1 found; No valid SSL certificate; Uses suspicious TLD: .shop,analyzed
arkadalink.casino,CRITICAL,145,Contains JavaScript redirects; Contains high-risk phishing phrases: 1 found; Mentions well-known brands: 2 found; Contains financial scam keywords: 3 found; Online gambling/casino content: 1 found; No valid SSL certificate; Uses suspicious TLD: .casino,analyzed
joyslot-88.online,CRITICAL,145,Contains login form; Contains 1 password input field(s); Contains JavaScript redirects; Mentions well-known brands: 4 found; Contains financial scam keywords: 1 found; Online gambling/casino content: 4 found; Uses suspicious TLD: .online,analyzed
joyslot-88.space,CRITICAL,145,Contains login form; Contains 1 password input field(s); Contains JavaScript redirects; Mentions well-known brands: 4 found; Contains financial scam keywords: 1 found; Online gambling/casino content: 4 found; Uses suspicious TLD: .space,analyzed
joyslot-88.site,CRITICAL,145,Contains login form; Contains 1 password input field(s); Contains JavaScript redirects; Mentions well-known brands: 4 found; Contains financial scam keywords: 1 found; Online gambling/casino content: 4 found; Uses suspicious TLD: .site,analyzed
joyslot-88.store,CRITICAL,145,Contains login form; Contains 1 password input field(s); Contains JavaScript redirects; Mentions well-known brands: 4 found; Contains financial scam keywords: 1 found; Online gambling/casino content: 4 found; Uses suspicious TLD: .store,analyzed
desadio19d.shop,CRITICAL,140,Contains JavaScript redirects; Contains credential harvesting phrases: 1 found; Mentions well-known brands: 5 found; Contains financial scam keywords: 1 found; Online gambling/casino content: 1 found; Uses suspicious TLD: .shop,analyzed
konoha777.site,CRITICAL,140,Contains login form; Contains 1 password input field(s); Mentions well-known brands: 4 found; Contains financial scam keywords: 1 found; Online gambling/casino content: 3 found; No valid SSL certificate; Uses suspicious TLD: .site,analyzed
livancetesteapp2.com.br,CRITICAL,135,Contains login form; Contains 1 email input field(s); Contains 1 iframe(s); Contains high-risk phishing phrases: 1 found; Contains credential harvesting phrases: 2 found; Mentions well-known brands: 3 found; No valid SSL certificate,analyzed
18iya777.com,CRITICAL,130,Contains login form; Contains 1 password input field(s); Contains JavaScript redirects; Mentions well-known brands: 3 found; Contains financial scam keywords: 2 found; Online gambling/casino content: 4 found,analyzed
02iya777.org,CRITICAL,130,Contains login form; Contains 1 password input field(s); Contains JavaScript redirects; Mentions well-known brands: 3 found; Contains financial scam keywords: 2 found; Online gambling/casino content: 4 found,analyzed
konoha777.online,CRITICAL,130,Contains login form; Contains 1 password input field(s); Mentions well-known brands: 4 found; Contains financial scam keywords: 1 found; Online gambling/casino content: 3 found; Uses suspicious TLD: .online,analyzed
konoha777.space,CRITICAL,130,Contains login form; Contains 1 password input field(s); Mentions well-known brands: 4 found; Contains financial scam keywords: 1 found; Online gambling/casino content: 3 found; Uses suspicious TLD: .space,analyzed
konoha777.shop,CRITICAL,130,Contains login form; Contains 1 password input field(s); Mentions well-known brands: 4 found; Contains financial scam keywords: 1 found; Online gambling/casino content: 3 found; Uses suspicious TLD: .shop,analyzed
challengeszone.pro,CRITICAL,125,Contains JavaScript redirects; Contains credential harvesting phrases: 1 found; Mentions well-known brands: 4 found; Contains financial scam keywords: 1 found; No valid SSL certificate; Uses suspicious TLD: .pro,analyzed
goldiwin.casino,CRITICAL,125,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 4 found; Contains financial scam keywords: 1 found; Online gambling/casino content: 2 found; Uses suspicious TLD: .casino,analyzed
kencanabet99.top,CRITICAL,125,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 2 found; Contains financial scam keywords: 1 found; Online gambling/casino content: 2 found; Uses suspicious TLD: .top,analyzed
realcoupon.in,CRITICAL,125,Contains high-risk phishing phrases: 1 found; Contains credential harvesting phrases: 1 found; Mentions well-known brands: 6 found; Uses urgency/scarcity tactics: 4 found; Contains financial scam keywords: 1 found,analyzed
spiderbets.casino,CRITICAL,125,Contains credential harvesting phrases: 2 found; Mentions well-known brands: 3 found; Contains financial scam keywords: 1 found; Online gambling/casino content: 2 found; Uses suspicious TLD: .casino,analyzed
getx061125.casino,CRITICAL,120,Contains JavaScript redirects; Contains credential harvesting phrases: 2 found; Mentions well-known brands: 3 found; Online gambling/casino content: 1 found; Uses suspicious TLD: .casino,analyzed
getx0611.casino,CRITICAL,120,Contains JavaScript redirects; Contains credential harvesting phrases: 2 found; Mentions well-known brands: 3 found; Online gambling/casino content: 1 found; Uses suspicious TLD: .casino,analyzed
