Domain,Organization,Risk Level,Risk Score,Matched Keyword,Reasons
"sbicr0.bond","State Bank of India (SBI)","CRITICAL",100,"sbi","Contains homoglyph characters; Uses suspicious TLD (.bond); Typosquatting variant of sbicard.com; Contains brand keyword: 'sbi'"
"aipartel.xyz","Airtel","CRITICAL",85,"airtel","Uses suspicious TLD (.xyz); Typosquatting variant of airtel.in; Contains brand keyword: 'airtel'"
"airell.site","Airtel","CRITICAL",85,"airtel","Uses suspicious TLD (.site); Typosquatting variant of airtel.in; Contains brand keyword: 'airtel'"
"artelo.top","Airtel","CRITICAL",85,"airtel","Uses suspicious TLD (.top); Typosquatting variant of airtel.in; Contains brand keyword: 'airtel'"
"ashdfc.top","HDFC Bank","CRITICAL",85,"hdfc","Uses suspicious TLD (.top); Typosquatting variant of hdfc.com; Contains brand keyword: 'hdfc'"
"hdfjc.top","HDFC Bank","CRITICAL",85,"hdfc","Uses suspicious TLD (.top); Typosquatting variant of hdfc.com; Contains brand keyword: 'hdfc'"
"sbircno.bond","State Bank of India (SBI)","CRITICAL",85,"sbi","Uses suspicious TLD (.bond); Typosquatting variant of sbi.co.in; Contains brand keyword: 'sbi'"
"0gpnbe.info","Punjab National Bank (PNB)","CRITICAL",75,"pnb","Contains homoglyph characters; Uses suspicious TLD (.info); Contains brand keyword: 'pnb'"
"0h61sbi.bond","State Bank of India (SBI)","CRITICAL",75,"sbi","Contains homoglyph characters; Uses suspicious TLD (.bond); Contains brand keyword: 'sbi'"
"12xsbi.bond","State Bank of India (SBI)","CRITICAL",75,"sbi","Contains homoglyph characters; Uses suspicious TLD (.bond); Contains brand keyword: 'sbi'"
"18mpnb6.sbs","Punjab National Bank (PNB)","CRITICAL",75,"pnb","Contains homoglyph characters; Uses suspicious TLD (.sbs); Contains brand keyword: 'pnb'"
"31r3zbob.bond","Bank of Baroda (BoB)","CRITICAL",75,"bob","Contains homoglyph characters; Uses suspicious TLD (.bond); Contains brand keyword: 'bob'"
"440clinic.site","National Informatics Centre (NIC)","CRITICAL",75,"nic","Contains homoglyph characters; Uses suspicious TLD (.site); Contains brand keyword: 'nic'"
"4jsbi0.info","State Bank of India (SBI)","CRITICAL",75,"sbi","Contains homoglyph characters; Uses suspicious TLD (.info); Contains brand keyword: 'sbi'"
"87c507pnbj.sbs","Punjab National Bank (PNB)","CRITICAL",75,"pnb","Contains homoglyph characters; Uses suspicious TLD (.sbs); Contains brand keyword: 'pnb'"
"amal-bentounsi-municipales-meaux-2026.online","National Informatics Centre (NIC)","CRITICAL",75,"nic","Contains homoglyph characters; Uses suspicious TLD (.online); Contains brand keyword: 'nic'"
"anbob048.bond","Bank of Baroda (BoB)","CRITICAL",75,"bob","Contains homoglyph characters; Uses suspicious TLD (.bond); Contains brand keyword: 'bob'"
"astrosonic11.sbs","National Informatics Centre (NIC)","CRITICAL",75,"nic","Contains homoglyph characters; Uses suspicious TLD (.sbs); Contains brand keyword: 'nic'"
"bnicred1tcard.site","National Informatics Centre (NIC)","CRITICAL",75,"nic","Contains homoglyph characters; Uses suspicious TLD (.site); Contains brand keyword: 'nic'"
"bobf3cy1hazii.xyz","Bank of Baroda (BoB)","CRITICAL",75,"bob","Contains homoglyph characters; Uses suspicious TLD (.xyz); Contains brand keyword: 'bob'"
"clnbfehzfhq11ua42pnbum.online","Punjab National Bank (PNB)","CRITICAL",75,"pnb","Contains homoglyph characters; Uses suspicious TLD (.online); Contains brand keyword: 'pnb'"
"fknicx91.bond","National Informatics Centre (NIC)","CRITICAL",75,"nic","Contains homoglyph characters; Uses suspicious TLD (.bond); Contains brand keyword: 'nic'"
"fmsbi1o1.bond","State Bank of India (SBI)","CRITICAL",75,"sbi","Contains homoglyph characters; Uses suspicious TLD (.bond); Contains brand keyword: 'sbi'"
